,Conformer,RMSD_macrocycle,RoG_macrocycle,TF_macrocycle,TFD_macrocycle,RMSD_heavy_atoms,RoG_heavy_atoms,TF_heavy_atoms,TFD_heavy_atoms,Nconf,Span_Rog_macrocycle,Span_Rog_heavy_atoms
0,1A7X_0001,1.6834048057717559,4.001202394767738,21.0,0.09673218189615058,5.179175853729248,6.422999520229734,130.0,0.4547772563714792,1,0.0,0.0
1,1BXO_0682,0.6790387488908819,2.942573061036372,15.0,0.07198683070284012,3.912673234939575,4.963316578024884,72.0,0.17842176428003884,1000,0.12232083847347885,1.4861676685918819
2,1BZL_0798,1.6960916255208653,4.484282645139154,24.0,1.4069408579060414,4.697089672088623,6.341949267347614,64.0,0.3915354692958253,1000,0.522604193557632,1.3474385579630956
3,1CPI_conf1_0456,0.8442401832446075,2.7249309107760786,24.0,0.14335470118014715,6.168887615203857,4.79693496010208,85.0,0.3316418391232128,1000,0.011409329157181958,1.7424101287577418
4,1E9W_0097,2.9946124103721257,5.057099890967203,54.0,3.790897419413449,5.737630844116211,7.045955772075825,245.0,0.5274431164891796,304,1.6595947319508753e-05,1.0044509394596162
5,1EHL_0001,1.093975921279927,2.799164279476564,25.0,0.036859138687832256,2.105745553970337,3.7656712461620736,89.0,0.3274991073457718,3,0.0,0.05494354938020374
6,1ESV_0003,0.7512578476941912,3.103675519713103,16.0,0.051145835187914955,2.4157354831695557,4.061487933277773,51.0,0.2844357231528298,4,1.8318960387286864e-05,0.30017089930036356
7,1FKD_0001,1.6414854167447201,3.6951471999232166,21.0,0.07662140157940373,3.615765333175659,4.947630089636123,117.0,0.4620013905127706,13,4.52985895682545e-06,0.1704375792090671
8,1FKI_0001,0.8536548788108915,3.7441616193612623,21.0,0.06518461912881211,0.8815603852272034,3.866509042577243,50.0,0.10147038189052685,1,0.0,0.0
9,1FKJ_0022,1.639207438394229,3.6938690640870755,21.0,0.020177437886861407,3.5571091175079346,5.04630938958257,114.0,0.5339863460278603,31,1.927240658927687e-05,0.12084645743195743
