,Conformer,RMSD_macrocycle,RoG_macrocycle,TF_macrocycle,TFD_macrocycle,RMSD_heavy_atoms,RoG_heavy_atoms,TF_heavy_atoms,TFD_heavy_atoms,Nconf,Span_Rog_macrocycle,Span_Rog_heavy_atoms
0,1A7X_203,0.9109006391869057,3.8115270273559068,21.0,0.43140154370687744,3.98122501373291,6.484414080972746,130.0,0.28629718088718226,1000,0.5759889486313168,1.3684350838977073
1,1BXO_512,0.5265463407665019,2.915510972764105,15.0,0.07105536018942551,4.420041561126709,5.110152552344479,72.0,0.20792059289666104,1000,0.28398975532812587,1.125843342040251
2,1BZL_223,1.1461745354736232,4.4321163891841815,24.0,0.6566302089361885,4.796072483062744,6.435504642666023,64.0,0.4232734942876597,1000,0.9537941913786736,1.3947311297466385
3,1CPI_97,0.566894033624741,2.7924570232822976,24.0,0.15254653795494647,3.7730865478515625,6.325792283529071,85.0,0.30866186357931824,1000,0.27320618613783765,1.9809653364989028
4,1E9W_747,2.4615241793452953,5.771435405131864,54.0,4.643190688073448,4.897636890411377,7.955010680341477,245.0,0.6919903750918288,1000,1.4178500218605645,1.9173312116998602
5,1EHL_197,0.5940657353054218,2.859717380857042,25.0,0.034907045566921764,1.407151222229004,3.785819256147188,89.0,0.2560513048640175,1000,0.1939786199153848,0.4795274190657497
6,1ESV_297,0.6827644893894617,3.0199228618642744,16.0,0.10667740134616181,3.8605055809020996,3.844457174022623,51.0,0.24988477131361814,1000,0.5016262029874272,0.9140074121070056
7,1FKD_766,0.8130920518911873,3.758702924172629,21.0,0.35483302977970527,3.0647358894348145,5.274732148478314,117.0,0.298428367249151,1000,0.5862175275454278,0.8651769442518997
8,1FKI_189,0.9242281653776535,3.6786262407318353,21.0,0.46353844552278173,2.223323106765747,3.9453757177274724,50.0,0.2863828778056656,1000,0.5464928922348178,0.5922174940063156
9,1FKJ_919,0.8445440385457812,3.7208104109489155,21.0,0.43749085972095986,2.8413102626800537,5.420226749454087,114.0,0.4288764933590552,1000,0.5702309700994288,0.9084748064841666
10,1FKL_941,1.334640890530554,4.954299912154216,29.0,34.97878374076776,2.738668918609619,5.984469916199563,124.0,3.793490162366362,1000,0.9135961149905478,1.022226141067046
11,1HHY-A_227,0.8752719613333838,5.0626233629355335,71.0,0.07102811582791728,2.9092838764190674,7.299650782080041,201.0,0.28881611209440383,1000,0.998986711116947,1.5860049324554915
12,1KEG_433,0.5257547477829771,2.9043931858475074,25.0,0.015662865503839687,5.171017646789551,8.2724093670153,175.0,0.3461369996168972,1000,0.2613917475205234,2.764421068621326
13,1KHR_61,1.3698181491139223,3.815202288198591,23.0,1.4175467835409639,2.4697718620300293,4.281541119675963,67.0,0.7147659282870609,1000,0.7889748192813673,0.7362031592087268
14,1MIK_862,1.5431091368797034,5.504671709044434,33.0,2254.745925506256,3.7594642639160156,6.503825938676621,152.0,118.93634532550351,1000,1.1635289886877773,1.227961904051332
15,1MRL_735,1.0386352476594767,3.943738170404385,23.0,0.6633021544647694,4.109625816345215,5.0382798323835525,86.0,0.3228641518456853,1000,0.7069323644025731,1.0046647895348784
16,1NMK_715,0.9783644490406798,3.9118836847427065,22.0,0.9308457748784807,2.8857967853546143,5.3498332218365965,92.0,0.26814430160323915,1000,0.6400491742355907,0.9475347572674577
17,1NSG_425,1.645804141491562,4.703328357540697,29.0,65.24276737582609,3.603358507156372,5.979010960096702,125.0,6.342288631674645,1000,0.9741743347476994,0.9631639587006813
18,1NT1_200,0.8413448065548821,3.028484507044526,17.0,0.20062907369619873,1.3884103298187256,4.359016106421301,67.0,0.2638589035065624,1000,0.4267454892312137,0.8412411137341191
19,1NWX_901,0.5164427714671612,2.7550782750971377,14.0,0.055127737711658006,7.3835930824279785,5.749216899814709,118.0,0.13906940611959692,1000,0.3274860770945831,0.9877386566159698
20,1OKX-C_655,0.7498235494957982,3.5776412663175794,19.0,0.11180507594507486,5.006687641143799,6.599245166666935,125.0,0.33105486544896245,1000,0.5916214767709951,1.784477041364715
