,Conformer,RMSD_macrocycle,RoG_macrocycle,TF_macrocycle,TFD_macrocycle,RMSD_heavy_atoms,RoG_heavy_atoms,TF_heavy_atoms,TFD_heavy_atoms,Nconf,Span_Rog_macrocycle,Span_Rog_heavy_atoms
0,1A7X_558,0.7730214011275961,3.6223498339810445,21.0,0.38181575267865825,3.442382335662842,6.559121723216431,130.0,0.3130953999806722,1000,0.8559305817360054,1.944724966793956
1,1BXO_109,0.39061235199697036,2.975289208281803,15.0,0.02869892020027933,2.129530191421509,5.015862341296736,72.0,0.19201173872819996,990,0.43686840843383656,1.714965756749193
2,1BZL_205,1.1633896064262126,4.074830469122507,24.0,0.6554398187184518,3.6789839267730713,5.7296676198467615,64.0,0.46328527829157157,1000,1.0895124415651831,1.9588334519794222
3,1CPI_871,0.48523696350411255,2.78489429464739,24.0,0.14127697849393178,5.382377624511719,5.230656922814328,85.0,0.3477075419512972,999,0.24927039728420342,2.515045732139291
4,1E9W_486,2.2814087881751477,5.144136398076275,54.0,3.235190460426214,4.028548240661621,7.954481905404435,245.0,0.44092598575911196,1000,1.8548452272010456,1.7023499511254885
5,1EHL_24,0.5607219481757717,2.8877819152550117,25.0,0.017141865158058232,1.4322558641433716,3.9293622198324734,89.0,0.1028856560170035,98,0.15729626747897596,0.3778782964547549
6,1ESV_193,0.5379964389217752,3.019185069920218,16.0,0.008048179321617475,4.985623836517334,3.7539315067156354,51.0,0.26133338920997995,286,0.48033396918305193,0.898977628436803
7,1FKD_633,0.8387093434436617,3.625286975962257,21.0,0.40354447433878804,5.081472396850586,4.692651761225184,117.0,0.4273836930106887,1000,0.8651581018864007,1.3469704937431173
8,1FKI_191,1.0247562194205342,3.733329136459771,21.0,0.24846665390346181,1.7980681657791138,4.020282015734555,50.0,0.45419196678344254,214,0.8420539812386476,0.8677352585618809
9,1FKJ_612,0.9060694594348168,3.570451022240888,21.0,0.5026929761695679,2.5598106384277344,5.053123324580973,114.0,0.34586843113278215,999,0.8659506499363894,1.3684161373971504
10,1FKL_418,1.2724466929003897,4.654031838674761,29.0,27.05853633136506,3.4201247692108154,5.392914388265557,124.0,3.0888663446508264,1000,1.3531706328011834,1.6281779006853716
11,1HHY-A_155,1.0952010263707395,5.234202973866431,71.0,0.06011224477602604,2.9931509494781494,7.0877310339388355,201.0,0.2801679319842434,1000,0.8295092667599171,1.646245054424151
12,1KEG_364,0.38737186214194524,2.877842560211283,25.0,0.03217715118973786,4.682218551635742,7.073635294295039,175.0,0.32384786162214174,1000,0.2792313283434922,3.629140365952452
13,1KHR_214,1.0853674115070078,4.065867086563687,23.0,0.4543416696519597,2.0910327434539795,4.363946849290423,67.0,0.14312059224854037,318,0.8919848546821108,0.728889301882679
14,1MIK_790,1.6058022832723577,4.998467419272718,33.0,2744.535509368,3.59499454498291,6.052841000264501,152.0,144.6938926188922,1000,1.1927488495568017,1.103382427954318
15,1MRL_768,1.1143929149473466,3.94309965952584,23.0,0.5748444031473932,4.681818008422852,4.573901419967909,86.0,0.4048531355522872,995,0.9851636202816163,1.3234946433263328
16,1NMK_774,0.7989889988478897,4.033501690195261,22.0,0.5987625084528286,2.3396661281585693,5.274044302745856,92.0,0.23543006292970678,998,0.8428888185603496,1.3390048211246688
17,1NSG_445,1.1026962311517072,4.688903227920962,29.0,32.66673289819679,2.1997199058532715,5.578230652378612,125.0,3.3961807751363433,1000,1.3530288655678806,1.7594833459985457
18,1NT1_171,0.8872080202977294,2.9290272513649334,17.0,0.20371963743754318,2.0829524993896484,4.036634024064956,67.0,0.23702495945388594,281,0.503649145402012,0.8566261605587329
19,1NWX_24,0.4728850295533432,2.7571340653187795,14.0,0.08906379375745807,5.49247932434082,5.437181605881727,118.0,0.26925039061994066,998,0.4078794879612815,1.3633355070461635
20,1OKX-C_442,0.7208693456279884,3.5693036117544237,19.0,0.015400927966571986,2.575507402420044,6.167081333560425,125.0,0.1724182714396779,1000,0.8029067255219675,2.0818213312189364
21,1OSF_273,0.9185636054387292,3.482395624082349,19.0,0.03262521986383575,2.2661781311035156,4.779487959496728,76.0,0.3676017664722344,760,0.6587814741686375,1.1937493915628759
22,1PFE_225,0.8004398000838097,4.105900041585376,46.0,0.2546895759755316,5.122415542602539,6.421439109220626,162.0,0.25534038110094553,1000,0.7881050793575057,2.462350101769955
23,1PKF_526,0.500772199942284,3.0068545190116005,16.0,0.018077318841993806,1.8050756454467773,4.4545440403139205,60.0,0.13748393233389783,757,0.5060637317551944,1.3186007499213832
