,Name,Time
0,1A7X,806176.0
1,1BXO,315571.0
2,1BZL,367632.0
4,1E9W,971808.0
5,1EHL,30030.0
6,1ESV,73224.0
7,1FKD,221390.0
8,1FKI,12002.0
9,1FKJ,174556.0
10,1FKL,462748.0
12,1KEG,291060.0
13,1KHR,82368.0
15,1MRL,126592.0
16,1NMK,384300.0
17,1NSG,395654.0
18,1NT1,149040.0
19,1NWX,279954.0
21,1OSF,276300.0
22,1PFE,43173.0
23,1PKF,102366.0
24,1QPF,303738.0
25,1QPL,213528.0
26,1QZ5,361563.0
27,1QZ6,852576.0
28,1S22,321957.0
29,1SKX,21300.0
30,1TPS,544401.0
32,1WUA,502572.0
33,1XS7,447688.0
35,1YET,72504.0
36,1YND,446574.0
37,1YXQ,1732918.0
38,2ASM,251019.0
39,2ASO,463680.0
40,2ASP,304945.0
41,2C6H,91884.0
42,2C7X,24180.0
44,2DG4,597310.0
45,2F3E,355701.0
46,2F3F,315231.0
47,2GPL,314215.0
48,2IYA,115038.0
49,2IYF,260952.0
50,2OTJ,52264.0
51,2PH8,113981.0
52,2Q0R,432762.0
53,2QZK,109952.0
54,2VYP,43740.0
55,2VZM,25840.0
56,2WEA,78930.0
57,2WHW,293880.0
58,2XBK,313740.0
59,3ABA,546984.0
61,3DV1,231240.0
62,3DV5,186340.0
64,3EKS,97644.0
65,3I6O,356584.0
66,3K5C,478044.0
67,3KEE,153573.0
68,3M6G,537027.0
78,AAGGAG10,17220.0
79,ACOPUF,121023.0
80,ADEZIU,100716.0
81,AFUTOL,42120.0
82,AGAJIB,26598.0
83,AJILUA,28823.0
84,BAMGOL10,3145.0
85,BANROX,528.0
86,BARYOI,41184.0
87,BAYSOJ,4698.0
88,BIHYAS10,169644.0
89,CAMVES01,6063.0
90,CAPINC,1650.0
91,CAZVEF,3800.0
92,CHMADP,65125.0
93,COFKAK,41125.0
94,CPDPSC,246848.0
95,CUQYUI,421953.0
96,CUZQUJ,26510.0
97,CYDECO,1008.0
98,DAFKUR,10224.0
99,DAZGEQ01,17056.0
100,DEMHUY01,11016.0
101,DEMJAG10,22770.0
102,DETHAL,16445.0
103,DEWCOY,230056.0
104,DOVXUI,27279.0
105,DOZWUL,1674.0
106,DUBQUN,1763.0
107,DUPKEE,199206.0
108,DUVGOQ10,452620.0
109,DZCDON,525.0
110,FIMKAO,179860.0
111,FIWZEQ,2160.0
112,FOKCUE,26628.0
113,GLSARM,496.0
114,GOBSIZ,27156.0
115,GOKREE,10296.0
116,GUGWOV,219520.0
117,HEBHUR,74725.0
118,HEBLIJ,241542.0
119,HEGNEO,116343.0
120,HEGNOY,58764.0
121,HETJIA,49708.0
122,HTENTX10,22825.0
123,IDUZEN,14400.0
124,IHOYEJ,2970.0
125,IWUGUC,158598.0
126,JECWIY,165600.0
127,JEFHEH,17680.0
128,JELTID,3051.0
129,JILWEG,71808.0
130,JOKNEC,201552.0
131,JOKPAA,7182.0
132,KEPNAU,658784.0
133,KETVAG10,9990.0
134,KEYBOH,688058.0
135,KICVUN,10476.0
136,KIHWII,2112.0
137,KIVDIC,113634.0
138,KUFPUW,185844.0
139,LENPEA,45808.0
140,MOSFEG,9694.0
141,MUCYIT,82792.0
142,MUZZEM,52626.0
143,NAFJEJ,4690.0
144,NAWLUT,2970.0
145,NENXOT,6579.0
146,NIYNIS,364231.0
147,NUJDEB,45843.0
148,OCERET,67276.0
149,OCUPAD,544.0
150,ODETEW,59968.0
151,PAWXUG,4680.0
152,PEZNAJ,244252.0
153,PIKZEO,12573.0
154,PIZYIH,32640.0
155,POGLIH,3995775.0
156,POTTEY,85100.0
157,POVVIF,23322.0
158,POWYEG,50065.0
159,PUSLAQ,57218.0
160,QEDJOA,120357.0
161,QIQYEU,2546.0
162,QIRRUE,1430.0
163,QODWEM,135280.0
164,QOSNAN,56496.0
165,RIVLUE,941220.0
166,RIWYAX,76482.0
167,RUTXUZ,63684.0
168,SAFVOM,2787156.0
169,SAVXUI,7728.0
170,SOTGOX,90.0
171,SUMMOC,122430.0
172,SUQJET,39690.0
173,TALZUC,111776.0
174,TEGXEI,2610.0
175,TENBOD,128.0
176,TERSIS,213204.0
177,TETMOU,12648.0
178,TIHMUS,261.0
179,UDAWIG,38418.0
180,UGONEJ,22050.0
181,UNDECO,1054.0
182,UZUKUW,405896.0
183,VAWTAQ,122354.0
184,VENZOD,726.0
185,VEVHAF,10534.0
186,VORZEH,228228.0
187,WACYAB,154.0
188,WAPHUR,5766.0
189,WATDIE,2952.0
190,WECCAI,684.0
191,WECCUC01,52633.0
192,WECKIY,30084.0
193,WIFNEF,49005.0
194,WIGLUT,28408.0
195,WISCUW01,24206.0
196,WUBGAB,382690.0
197,WUMSON,302699.0
198,WURVEL,25559.0
199,XETJUC,1232.0
200,YACWIK,928207.0
201,YARFON,1728.0
202,YAZKOZ,2279.0
203,YITZIK,47672.0
204,YIWHOB01,107018.0
205,YUPHIA,1900.0
206,ZOYJEC,15742.0
207,ZZZMZM01,35120.0
