,Name,Time
0,1A7X,12031.0
1,1BXO,893.0
2,1BZL,36621.0
3,1CPI,696.0
4,1E9W,36432.0
5,1EHL,1092.0
6,1ESV,253.0
7,1FKD,7128.0
8,1FKI,15600.0
9,1FKJ,20212.0
10,1FKL,135250.0
11,1HHY-A,192.0
12,1KEG,1472.0
13,1KHR,12615.0
14,1MIK,23880.0
15,1MRL,19152.0
16,1NMK,4988.0
17,1NSG,24800.0
18,1NT1,1206.0
19,1NWX,1953.0
20,1OKX-C,2227.0
21,1OSF,4230.0
22,1PFE,1903.0
23,1PKF,2320.0
24,1QPF,23353.0
25,1QPL,12540.0
26,1QZ5,56932.0
27,1QZ6,47808.0
28,1S22,41496.0
29,1SKX,1826.0
30,1TPS,5610.0
31,1WAW,650.0
32,1WUA,67320.0
33,1XS7,18758.0
34,1XVR-D,1358.0
35,1YET,3675.0
36,1YND,9275.0
37,1YXQ,67704.0
38,2ASM,35092.0
39,2ASO,59640.0
40,2ASP,66049.0
41,2C6H,308.0
42,2C7X,1020.0
43,2CV3,5396.0
44,2DG4,75152.0
45,2F3E,3799.0
46,2F3F,852.0
47,2GPL,1848.0
48,2IYA,3536.0
49,2IYF,2346.0
50,2OTJ,14448.0
51,2PH8,2176.0
52,2Q0R,11122.0
53,2QZK,2952.0
54,2VYP,192360.0
55,2VZM,756.0
56,2WEA,44.0
57,2WHW,76.0
58,2XBK,39188.0
59,3ABA,52864.0
60,3AVJ-D,60479.0
61,3DV1,621.0
62,3DV5,4525.0
63,3E7A,9379.0
64,3EKS,63.0
65,3I6O,342.0
66,3K5C,3720.0
67,3KEE,5412.0
68,3M6G,5352.0
69,3RQD-D,1296.0
70,3WDC,4147.0
71,3WNF-C,20824.0
72,4GM9,7560.0
73,4GVU,240.0
74,4JNA-H,4950.0
75,4KEL,222798.0
76,4M6E-A,34648.0
77,4MNW,56615.0
78,AAGGAG10,1716.0
79,ACOPUF,186.0
80,ADEZIU,65.0
81,AFUTOL,100.0
82,AGAJIB,4352.0
83,AJILUA,9.0
84,BAMGOL10,18.0
85,BANROX,132.0
86,BARYOI,522.0
87,BAYSOJ,59.0
88,BIHYAS10,8635.0
89,CAMVES01,1232.0
90,CAPINC,0.0
91,CAZVEF,488.0
92,CHMADP,98048.0
93,COFKAK,362648.0
94,CPDPSC,416.0
95,CUQYUI,13426.0
96,CUZQUJ,13283.0
97,CYDECO,0.0
98,DAFKUR,4602.0
99,DAZGEQ01,44.0
100,DEMHUY01,8246.0
101,DEMJAG10,15780.0
102,DETHAL,132.0
103,DEWCOY,20.0
104,DOVXUI,104.0
105,DOZWUL,279.0
106,DUBQUN,31.0
107,DUPKEE,3102.0
108,DUVGOQ10,3315.0
109,DZCDON,0.0
110,FIMKAO,7383.0
111,FIWZEQ,0.0
112,FOKCUE,1204160.0
113,GLSARM,28.0
114,GOBSIZ,3280.0
115,GOKREE,375.0
116,GUGWOV,784.0
117,HEBHUR,770.0
118,HEBLIJ,6808.0
119,HEGNEO,144.0
120,HEGNOY,252.0
121,HETJIA,1717.0
122,HTENTX10,200.0
123,IDUZEN,10836.0
124,IHOYEJ,142.0
125,IWUGUC,7743.0
126,JECWIY,420.0
127,JEFHEH,1480.0
128,JELTID,20.0
129,JILWEG,504.0
130,JOKNEC,1196.0
131,JOKPAA,1145.0
132,KEPNAU,29370.0
133,KETVAG10,10699.0
134,KEYBOH,50958.0
135,KICVUN,2345.0
136,KIHWII,0.0
137,KIVDIC,1891.0
138,KUFPUW,272.0
139,LENPEA,63332.0
140,MOSFEG,1700.0
141,MUCYIT,427.0
142,MUZZEM,8277.0
143,NAFJEJ,416.0
144,NAWLUT,52.0
145,NENXOT,74.0
146,NIYNIS,31605.0
147,NUJDEB,312852.0
148,OCERET,14448.0
149,OCUPAD,34.0
150,ODETEW,42.0
151,PAWXUG,750.0
152,PEZNAJ,1150.0
153,PIKZEO,87220.0
154,PIZYIH,340.0
155,POTTEY,600.0
156,POVVIF,3375.0
157,POWYEG,6594.0
158,PUSLAQ,5000.0
159,QEDJOA,416.0
160,QIQYEU,304.0
161,QIRRUE,702.0
162,QODWEM,23765.0
163,QOSNAN,43.0
164,RIVLUE,4452.0
165,RIWYAX,5880.0
166,RUTXUZ,1807.0
167,SAFVOM,3192.0
168,SAVXUI,65.0
169,SOTGOX,11.0
170,SUMMOC,7397.0
171,SUQJET,19684.0
172,TALZUC,413.0
173,TEGXEI,390.0
174,TENBOD,0.0
175,TERSIS,2632.0
176,TETMOU,684.0
177,TIHMUS,28.0
178,UDAWIG,1617.0
179,UGONEJ,42.0
180,UNDECO,0.0
181,UZUKUW,41296.0
182,VAWTAQ,4248.0
183,VENZOD,0.0
184,VEVHAF,57.0
185,VORZEH,2624.0
186,WACYAB,0.0
187,WAPHUR,312.0
188,WATDIE,432.0
189,WECCAI,29.0
190,WECCUC01,11500.0
191,WECKIY,418.0
192,WIFNEF,9373.0
193,WIGLUT,387.0
194,WISCUW01,104.0
195,WUBGAB,41762.0
196,WUMSON,2145.0
197,WURVEL,4075.0
198,XETJUC,10.0
199,YACWIK,98826.0
200,YARFON,68.0
201,YAZKOZ,35.0
202,YITZIK,29046.0
203,YIWHOB01,59280.0
204,YUPHIA,45.0
205,ZOYJEC,80.0
206,ZZZMZM01,2450.0
